Date,Open,High,Low,Close,Adj Close,Volume
2019-12-16,177.270004,178.000000,176.139999,176.399994,159.847046,3207600
2019-12-17,176.250000,177.240005,175.809998,176.699997,160.118912,3039800
2019-12-18,176.559998,177.029999,174.410004,174.639999,158.252197,3614700
2019-12-19,175.009995,176.619995,174.490005,176.500000,159.937698,2680600
2019-12-20,177.149994,177.690002,176.149994,176.410004,159.856125,4351900
2019-12-23,177.380005,177.380005,175.809998,176.429993,159.874252,2577700
2019-12-24,176.440002,176.850006,175.729996,176.309998,159.765488,625500
2019-12-26,176.559998,176.899994,175.720001,176.880005,160.282028,1269700
2019-12-27,177.080002,177.240005,176.289993,176.479996,159.919556,1303900
2019-12-30,176.559998,177.000000,175.759995,176.419998,159.865173,1670100
2019-12-31,176.460007,177.080002,175.460007,177.000000,160.390747,1728900
2020-01-02,177.500000,180.800003,177.139999,180.789993,163.825089,2857400
2020-01-03,178.339996,179.830002,177.410004,178.860001,162.076202,2805200
2020-01-06,177.839996,178.380005,176.929993,177.509995,160.852859,3277900
2020-01-07,177.369995,178.070007,175.589996,177.610001,160.943497,3002800
2020-01-08,177.669998,179.100006,176.729996,177.759995,161.079391,2545500
2020-01-09,178.699997,179.429993,178.059998,179.070007,162.266525,1789500
2020-01-10,179.899994,179.899994,178.139999,178.679993,161.913086,1671700
2020-01-13,179.250000,181.339996,178.690002,181.270004,164.260071,2261900
2020-01-14,180.490005,181.220001,179.509995,180.449997,163.517059,2191200
2020-01-15,181.289993,182.440002,179.850006,180.729996,163.770752,2600800
2020-01-16,181.500000,182.490005,180.789993,182.259995,165.157196,2215400
2020-01-17,182.860001,184.059998,182.529999,183.229996,166.036118,2608000
2020-01-21,183.039993,183.300003,180.470001,180.929993,163.951935,2188600
2020-01-22,181.559998,181.880005,179.809998,180.050003,163.154556,1881700
2020-01-23,179.809998,180.539993,179.029999,179.580002,162.728638,2434000
2020-01-24,179.919998,180.259995,176.490005,177.130005,160.508530,2737000
2020-01-27,174.270004,175.339996,173.470001,173.539993,157.255402,2491500
2020-01-28,174.119995,176.750000,173.240005,175.460007,158.995270,2178400
2020-01-29,177.000000,177.740005,175.630005,175.669998,159.185562,2199000
2020-01-30,173.800003,178.770004,173.800003,178.339996,161.605011,3076100
2020-01-31,177.910004,177.910004,171.339996,173.220001,156.965454,5500000
2020-02-03,174.460007,175.619995,170.669998,171.320007,155.243744,3542700
2020-02-04,174.080002,176.059998,174.000000,175.210007,158.768723,2992500
2020-02-05,176.910004,177.630005,175.399994,176.899994,160.300156,2818100
2020-02-06,178.000000,178.000000,176.160004,176.350006,159.801743,2427500
2020-02-07,175.850006,176.720001,174.699997,175.279999,158.832153,3254500
2020-02-10,174.919998,177.119995,174.110001,176.949997,160.345444,2399700
2020-02-11,178.250000,179.940002,177.199997,179.149994,162.339005,2948500
2020-02-12,179.479996,181.639999,179.050003,181.179993,164.178513,2950800
2020-02-13,180.330002,180.949997,178.690002,180.119995,163.217972,1985700
2020-02-14,180.509995,181.860001,179.979996,180.809998,163.843216,2489000
2020-02-18,180.100006,180.490005,178.949997,179.419998,162.583664,1818600
2020-02-19,179.830002,181.679993,179.500000,180.860001,163.888535,2464500
2020-02-20,180.929993,182.210007,179.009995,180.699997,163.743530,2336800
2020-02-21,179.610001,180.990005,178.750000,179.880005,163.000534,1940400
2020-02-24,174.440002,177.369995,173.460007,175.270004,158.823120,3204300
2020-02-25,175.639999,176.550003,166.830002,167.800003,152.054077,4092200
2020-02-26,168.589996,172.080002,166.770004,167.179993,151.492233,3411700
2020-02-27,163.009995,166.830002,159.520004,159.550003,145.360764,3951300
2020-02-28,153.750000,162.169998,150.619995,162.169998,147.747757,9558100
2020-03-02,163.089996,165.479996,157.589996,164.240005,149.633682,6744900
2020-03-03,164.279999,168.179993,160.559998,161.889999,147.492661,6108500
2020-03-04,164.899994,171.929993,164.259995,171.190002,155.965576,4532500
2020-03-05,166.500000,167.910004,163.220001,164.919998,150.253174,5394700
2020-03-06,158.809998,165.119995,157.580002,164.029999,149.442322,5021600
2020-03-09,152.500000,157.259995,149.740005,152.860001,139.265701,5849000
2020-03-10,155.850006,161.940002,153.350006,161.690002,147.310440,5477600
2020-03-11,156.830002,157.479996,151.559998,153.389999,139.748566,4826900
2020-03-12,143.389999,145.479996,134.440002,134.850006,122.857407,7170500
2020-03-13,142.149994,149.679993,138.020004,149.410004,136.122543,6324800
2020-03-16,128.000000,143.229996,124.010002,135.270004,123.240067,5891000
2020-03-17,136.229996,141.970001,130.190002,131.800003,120.078651,8524800
2020-03-18,121.919998,124.129997,101.099998,119.610001,108.972740,7633900
2020-03-19,117.750000,122.419998,112.019997,118.959999,108.380539,6814100
2020-03-20,120.889999,121.160004,110.779999,112.500000,102.495056,6801200
2020-03-23,107.489998,111.080002,101.080002,103.860001,94.623444,8200400
2020-03-24,110.000000,119.529999,109.250000,119.510002,108.881630,5799100
2020-03-25,120.290001,135.339996,119.800003,129.649994,118.119850,7159100
2020-03-26,131.830002,139.389999,131.160004,137.399994,125.180626,5594400
2020-03-27,131.419998,135.210007,128.139999,131.270004,119.595779,3924900
2020-03-30,130.750000,133.759995,130.130005,131.750000,120.033081,5035700
2020-03-31,131.839996,136.110001,130.000000,133.789993,121.891655,5296000
2020-04-01,128.279999,131.279999,125.500000,129.710007,118.174538,4246100
2020-04-02,128.600006,133.149994,127.139999,132.809998,120.998817,3504200
2020-04-03,132.500000,132.839996,126.529999,127.449997,116.115486,4031500
2020-04-06,133.520004,135.369995,132.509995,134.000000,122.082993,4874300
2020-04-07,140.639999,142.220001,135.000000,135.240005,123.212723,4051700
2020-04-08,136.669998,140.380005,135.210007,139.250000,126.866074,3890600
2020-04-09,140.000000,146.300003,139.699997,143.429993,130.674332,4365000
2020-04-13,142.759995,143.210007,136.509995,137.940002,125.672585,3016300
2020-04-14,140.710007,143.729996,138.550003,140.589996,128.086945,3486600
2020-04-15,137.570007,137.970001,132.509995,134.839996,122.848267,3252800
2020-04-16,134.580002,135.300003,129.580002,132.330002,120.561508,4016700
2020-04-17,135.869995,140.199997,135.669998,138.320007,126.018822,4750700
2020-04-20,135.789993,138.190002,134.889999,135.699997,123.631798,2529000
2020-04-21,133.070007,134.020004,130.720001,132.000000,120.260849,2418100
2020-04-22,134.220001,134.710007,131.750000,133.029999,121.199265,2629700
2020-04-23,134.750000,138.589996,134.160004,134.679993,122.702530,2786400
2020-04-24,135.699997,136.240005,132.360001,135.520004,123.467850,2837900
2020-04-27,136.529999,141.080002,135.779999,139.880005,127.440071,3137700
2020-04-28,143.320007,146.589996,142.119995,142.759995,130.063950,3377900
2020-04-29,145.500000,147.869995,144.009995,146.160004,133.161575,2651200
2020-04-30,143.490005,143.990005,140.559998,141.899994,129.280411,4492600
2020-05-01,139.330002,139.500000,134.169998,137.250000,125.043961,3681100
2020-05-04,133.899994,136.360001,132.809998,135.199997,123.176239,4123000
2020-05-05,137.089996,137.089996,134.529999,134.869995,122.875618,3122300
2020-05-06,136.110001,136.110001,132.979996,133.039993,121.208366,2349500
2020-05-07,134.619995,135.649994,132.009995,132.789993,120.980598,3096500
2020-05-08,134.669998,137.320007,134.399994,136.910004,124.734215,2740400
2020-05-11,135.759995,135.919998,134.149994,134.279999,122.338074,2356400
2020-05-12,135.320007,136.029999,127.500000,127.589996,116.243042,4870400
2020-05-13,127.129997,127.139999,121.879997,122.970001,112.033928,5786200
2020-05-14,120.269997,127.260002,117.110001,127.050003,116.604492,5226200
2020-05-15,125.370003,126.660004,123.730003,125.410004,115.099327,4660300
2020-05-18,130.500000,137.589996,129.679993,136.039993,124.855354,6402800
2020-05-19,135.250000,135.419998,131.940002,131.949997,121.101624,4427800
2020-05-20,134.550003,136.679993,134.259995,136.029999,124.846184,2949700
2020-05-21,137.529999,138.789993,136.289993,137.690002,126.369713,2374300
2020-05-22,137.470001,139.339996,136.449997,139.179993,127.737213,2958000
2020-05-26,143.770004,146.259995,143.410004,144.940002,133.023621,4370200
2020-05-27,148.360001,150.940002,146.869995,148.589996,136.373550,4291700
2020-05-28,150.000000,151.210007,144.679993,147.559998,135.428223,3481800
2020-05-29,145.720001,149.899994,144.330002,145.850006,133.858841,4135000
2020-06-01,145.490005,147.789993,144.910004,146.179993,134.161697,2071100
2020-06-02,147.789993,148.729996,146.449997,148.350006,136.153290,3625800
2020-06-03,150.240005,154.380005,150.050003,153.350006,140.742218,2992700
2020-06-04,152.009995,156.179993,151.130005,155.910004,143.091751,3768200
2020-06-05,162.910004,165.720001,160.539993,161.369995,148.102814,4524900
2020-06-08,161.570007,164.300003,161.070007,162.919998,149.525406,3573400
2020-06-09,160.360001,161.000000,157.539993,158.100006,145.101715,3679100
2020-06-10,157.720001,157.850006,153.429993,154.119995,141.448929,3309800
2020-06-11,148.660004,148.820007,143.089996,143.440002,131.646957,4184900
2020-06-12,148.210007,149.000000,141.149994,144.509995,132.628983,3612400
2020-06-15,140.119995,148.100006,139.699997,146.630005,134.574677,3314000
2020-06-16,152.110001,152.410004,146.169998,149.110001,136.850830,3804500
2020-06-17,149.690002,150.070007,147.809998,148.339996,136.144104,3507600
2020-06-18,146.850006,149.000000,146.320007,148.229996,136.043137,2581600
2020-06-19,150.460007,150.839996,144.729996,145.369995,133.418289,5265900
2020-06-22,144.610001,146.500000,143.339996,144.940002,133.023621,2529900
2020-06-23,146.889999,147.240005,144.720001,144.860001,132.950211,2309800
2020-06-24,142.820007,143.330002,138.080002,138.350006,126.975487,3371200
2020-06-25,138.029999,142.800003,137.789993,142.460007,130.747574,4019000
2020-06-26,142.309998,142.309998,137.529999,138.210007,126.846954,10255300
2020-06-29,140.110001,143.300003,139.279999,143.240005,131.463425,2971200
2020-06-30,142.259995,145.520004,142.020004,144.589996,132.702438,3688000
2020-07-01,145.220001,146.479996,142.970001,144.110001,132.261887,2609500
2020-07-02,145.580002,147.149994,144.550003,145.020004,133.097092,2758500
2020-07-06,147.250000,148.300003,146.130005,147.220001,135.116226,2336700
2020-07-07,146.000000,146.100006,144.259995,144.970001,133.051178,2622000
2020-07-08,144.429993,145.929993,143.910004,145.589996,133.620193,3587800
2020-07-09,144.740005,145.520004,141.330002,141.369995,129.747131,3167200
2020-07-10,141.630005,143.119995,140.899994,142.449997,130.738358,2325000
2020-07-13,143.580002,145.880005,142.250000,143.490005,131.692825,2585700
2020-07-14,143.490005,148.309998,142.289993,148.100006,135.923874,2649800
2020-07-15,151.199997,152.690002,150.869995,151.929993,139.438995,2984600
2020-07-16,151.009995,153.509995,150.250000,153.080002,140.494431,3697600
2020-07-17,153.500000,155.380005,152.460007,155.000000,142.256577,4886500
2020-07-20,154.119995,154.880005,152.520004,153.389999,140.778915,4876200
2020-07-21,153.880005,157.020004,153.880005,154.759995,142.036255,2394000
2020-07-22,154.110001,155.610001,153.910004,154.610001,141.898621,1798600
2020-07-23,154.360001,155.490005,152.869995,153.729996,141.090973,2625600
2020-07-24,154.000000,154.250000,149.039993,149.429993,137.144485,4368300
2020-07-27,148.800003,150.960007,147.919998,150.759995,138.365189,3378300
2020-07-28,150.500000,152.080002,149.419998,152.009995,139.512390,3904200
2020-07-29,151.570007,155.429993,151.169998,154.580002,141.871063,3311500
2020-07-30,152.929993,153.070007,149.029999,149.160004,136.896729,2749100
2020-07-31,148.919998,149.479996,147.000000,149.369995,137.089447,4061200
2020-08-03,150.130005,150.250000,147.309998,148.529999,136.318497,2105400
2020-08-04,147.259995,148.160004,146.210007,147.330002,135.217163,3078300
2020-08-05,148.789993,151.000000,148.550003,150.820007,138.420227,4097200
2020-08-06,150.919998,152.899994,150.339996,152.580002,140.035522,2502700
2020-08-07,152.440002,155.259995,151.860001,155.110001,142.357483,2520200
2020-08-10,155.160004,159.880005,155.160004,159.429993,146.322311,2858800
2020-08-11,160.720001,163.250000,160.100006,160.279999,147.102463,3773700
2020-08-12,162.520004,162.820007,158.990005,160.070007,146.909744,2669400
2020-08-13,157.679993,159.649994,157.570007,158.979996,146.734329,2574900
2020-08-14,158.000000,160.869995,157.960007,160.279999,147.934235,2844700
2020-08-17,160.029999,160.880005,158.050003,158.759995,146.531281,2817200
2020-08-18,158.990005,159.759995,157.220001,157.380005,145.257584,1869300
2020-08-19,157.570007,158.130005,156.160004,156.850006,144.768417,2098100
2020-08-20,155.500000,157.020004,155.210007,156.169998,144.140793,1600300
2020-08-21,155.960007,157.759995,155.960007,157.500000,145.368378,2507800
2020-08-24,158.100006,159.449997,156.509995,159.369995,147.094315,2087000
2020-08-25,164.339996,167.000000,163.520004,164.529999,151.856842,7400500
2020-08-26,164.800003,166.429993,163.339996,165.309998,152.576782,3466600
2020-08-27,166.190002,168.690002,165.089996,165.990005,153.204407,4281100
2020-08-28,166.320007,168.699997,165.460007,168.380005,155.410339,13011800
2020-08-31,168.580002,168.589996,164.690002,165.550003,152.798264,4561900
2020-09-01,163.789993,168.160004,163.500000,167.970001,155.031876,3974600
2020-09-02,168.729996,172.929993,167.919998,172.470001,159.185242,4111900
2020-09-03,173.369995,173.820007,165.059998,166.300003,153.490524,3527700
2020-09-04,168.720001,169.660004,164.580002,166.690002,153.850494,3326500
2020-09-08,165.190002,166.440002,163.300003,164.270004,151.616928,2796800
2020-09-09,165.250000,167.550003,164.860001,165.750000,152.982880,2807500
2020-09-10,167.300003,167.300003,163.820007,164.270004,151.616928,2814900
2020-09-11,164.509995,167.449997,164.270004,166.449997,153.628983,2116700
2020-09-14,168.009995,169.539993,167.369995,168.470001,155.493378,2134000
2020-09-15,169.270004,169.990005,168.070007,168.300003,155.336456,1851200
2020-09-16,169.289993,171.360001,168.479996,170.000000,156.905548,3152000
2020-09-17,168.039993,171.449997,166.710007,170.339996,157.219315,2661400
2020-09-18,169.479996,170.470001,167.699997,168.699997,155.705658,4908000
2020-09-21,164.820007,165.179993,158.589996,161.369995,148.940247,4459600
2020-09-22,160.850006,163.000000,160.119995,162.679993,150.149353,2501000
2020-09-23,162.320007,163.899994,157.830002,158.789993,146.558990,2507600
