Date,Open,High,Low,Close,Adj Close,Volume
2019-08-27,231.720001,232.399994,222.600006,222.929993,206.891403,4988100
2019-08-28,222.419998,229.770004,220.779999,227.350006,210.993454,4847600
2019-08-29,228.419998,232.300003,228.009995,230.619995,214.028137,4052500
2019-08-30,233.669998,235.050003,232.289993,234.000000,217.164978,3384100
2019-09-03,231.740005,232.169998,228.470001,230.619995,214.028137,3382300
2019-09-04,231.949997,232.949997,226.500000,226.729996,210.418030,4526100
2019-09-05,230.000000,231.509995,227.580002,229.589996,213.072266,4256900
2019-09-06,230.169998,231.960007,228.589996,229.000000,212.524689,4183200
2019-09-09,229.000000,232.000000,228.559998,230.679993,214.083862,3895600
2019-09-10,231.449997,234.289993,230.830002,232.460007,215.735794,4257600
2019-09-11,232.490005,234.250000,228.580002,234.210007,217.359894,3168100
2019-09-12,235.000000,236.399994,229.699997,230.100006,213.545563,4713700
2019-09-13,232.990005,236.559998,231.539993,233.610001,217.825455,4523200
2019-09-16,232.820007,236.050003,232.149994,234.429993,218.590012,2973600
2019-09-17,233.070007,233.990005,231.169998,232.520004,216.809113,2392900
2019-09-18,230.800003,233.130005,229.229996,230.610001,215.028152,2960500
2019-09-19,232.000000,233.949997,231.229996,232.850006,217.116791,2666700
2019-09-20,234.770004,235.000000,231.919998,232.889999,217.154099,6220100
2019-09-23,229.770004,230.779999,228.320007,228.770004,213.312500,3281200
2019-09-24,229.380005,229.839996,222.919998,225.000000,209.797195,5006800
2019-09-25,224.279999,226.500000,222.130005,222.169998,207.158417,4658000
2019-09-26,223.039993,223.630005,213.429993,215.479996,200.920486,10444400
2019-09-27,218.179993,218.880005,215.020004,215.259995,200.715286,4834900
2019-09-30,213.639999,218.529999,213.119995,217.320007,202.636124,5286300
2019-10-01,219.190002,219.190002,212.080002,217.210007,202.533569,5523600
2019-10-02,216.149994,219.360001,215.279999,216.750000,202.104660,4921200
2019-10-03,215.630005,216.360001,213.050003,215.360001,200.808563,3375800
2019-10-04,216.839996,219.860001,215.139999,219.800003,204.948532,3700500
2019-10-07,219.050003,222.529999,218.990005,221.240005,206.291260,3843200
2019-10-08,219.490005,221.979996,218.399994,220.110001,205.237579,4817000
2019-10-09,221.710007,223.470001,220.169998,222.080002,207.074493,4483100
2019-10-10,218.190002,224.130005,217.520004,223.729996,208.612991,5252200
2019-10-11,225.539993,228.850006,221.589996,222.070007,207.065201,5891600
